                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2651,                 2.7397,                  2.827,                 1.4479,                0.62277,                0.65971,                0.70492,                 0.4995,                0.60999,                 0.6369,                0.67878,                0.38724,                0.99076,                 2.3197,                  6.648,                 1.3016,             0.00046526,             0.00046526,             0.00046526
                      2,                 1.1555,                 2.1228,                 2.3107,                 1.3114,                0.57142,                0.54783,                0.55868,                 0.3298,                0.56877,                0.49827,                0.50621,                0.28242,                 1.2506,                 2.9735,                 7.4898,                 1.7788,             0.00092605,             0.00092605,             0.00092605
                      3,                 1.4919,                 2.7606,                  3.086,                 1.6325,                0.17068,                0.37666,                0.18447,                0.06348,                0.20326,                0.35662,                0.17032,                0.05177,                 2.1342,                 5.9977,                 11.805,                 2.7982,              0.0013711,              0.0013711,              0.0013711
                      4,                 1.7685,                 3.2839,                  3.151,                 1.7445,                0.42443,                0.09283,                0.05934,                0.02755,                0.03788,                0.10529,                0.02156,                0.00819,                 2.3253,                 5.7394,                 6.1785,                 2.3981,              0.0013583,              0.0013583,              0.0013583
                      5,                 2.0144,                 3.6456,                 2.8962,                 2.0293,                0.21903,                0.42477,                0.27243,                0.14581,                0.30309,                0.18514,                0.20191,                0.08542,                 1.7543,                 6.2401,                  3.974,                 2.4454,              0.0013583,              0.0013583,              0.0013583
                      6,                 1.6409,                 3.3162,                 2.5096,                 1.7163,                0.22344,                0.32491,                0.22379,                0.12126,                 0.1693,                0.23811,                0.17268,                0.10003,                 1.6034,                 8.2842,                 7.1019,                  2.054,              0.0013347,              0.0013347,              0.0013347
                      7,                 1.6183,                 2.7609,                  2.509,                 1.6518,                0.31786,                0.36375,                0.30625,                0.14229,                0.36649,                0.27153,                0.24141,                0.11362,                   1.94,                 3.8701,                 5.4941,                 2.1909,              0.0013111,              0.0013111,              0.0013111
                      8,                 1.7163,                 2.9704,                 2.9426,                   1.75,                0.41066,                0.29804,                0.28396,                0.13564,                0.40151,                0.26275,                0.25605,                0.09148,                 1.5496,                 2.6044,                 9.2698,                 1.9249,              0.0012875,              0.0012875,              0.0012875
                      9,                 1.6236,                  2.775,                 2.6546,                 1.7355,                 0.5864,                0.41384,                0.34706,                0.17998,                0.57564,                0.39475,                0.32152,                0.14784,                 1.4873,                 3.1766,                 5.5831,                 1.8242,               0.001264,               0.001264,               0.001264
                     10,                 1.5935,                 2.7531,                 2.4076,                 1.6658,                0.60616,                0.26042,                0.30106,                0.17596,                0.59082,                0.22138,                0.25585,                0.12655,                 1.4244,                 3.0205,                 10.013,                 1.7726,              0.0012404,              0.0012404,              0.0012404
                     11,                 1.7679,                 2.9607,                 2.2758,                 1.7426,                0.44769,                0.35843,                0.34995,                0.18351,                0.43986,                0.31529,                0.30731,                0.13815,                 1.6508,                 2.7924,                 3.6007,                  1.978,              0.0012168,              0.0012168,              0.0012168
                     12,                  1.585,                 2.4346,                 2.0726,                 1.6479,                0.31384,                0.46358,                0.38828,                0.21581,                0.32398,                0.46143,                0.36707,                0.18079,                 1.5359,                 2.3139,                 6.9996,                    1.9,              0.0011932,              0.0011932,              0.0011932
                     13,                 1.4967,                 2.3839,                 2.0442,                 1.6539,                0.55844,                0.64887,                0.62853,                 0.3461,                0.53515,                 0.6112,                0.55298,                0.28482,                 1.3939,                 2.2508,                 3.7333,                 1.6995,              0.0011696,              0.0011696,              0.0011696
                     14,                 1.4838,                 2.1999,                 1.8115,                  1.594,                0.67735,                0.63776,                0.70713,                0.40516,                0.68194,                0.64097,                0.68858,                 0.4001,                 1.2542,                 2.0515,                 2.0478,                 1.5572,              0.0011461,              0.0011461,              0.0011461
                     15,                 1.3903,                  2.019,                 1.7274,                 1.4872,                0.51878,                0.57951,                0.61249,                0.36291,                0.50697,                0.55214,                0.59461,                 0.3361,                  1.266,                 2.0515,                 2.0043,                 1.5516,              0.0011225,              0.0011225,              0.0011225
                     16,                 1.3131,                 1.8593,                 1.6241,                 1.4736,                0.54774,                0.57694,                0.60352,                0.35153,                 0.5992,                0.60486,                0.63418,                0.36985,                 1.4751,                 1.9813,                 1.7512,                 1.7835,              0.0010989,              0.0010989,              0.0010989
                     17,                 1.3011,                 1.9899,                 1.6704,                 1.3851,                0.66599,                0.60173,                0.68463,                0.45813,                0.67714,                0.59857,                0.66424,                0.42961,                 1.1949,                 1.7458,                 1.7023,                 1.5122,              0.0010753,              0.0010753,              0.0010753
                     18,                 1.2223,                 1.9033,                 1.5265,                 1.4165,                0.63476,                0.60075,                0.68656,                0.45482,                 0.6042,                0.60003,                0.67127,                0.42242,                  1.071,                 1.7153,                 1.8776,                 1.4224,              0.0010517,              0.0010517,              0.0010517
                     19,                  1.149,                 1.7742,                 1.4069,                 1.3959,                0.55619,                0.53254,                0.52171,                 0.3566,                0.54464,                0.51841,                0.50498,                0.34935,                 1.4769,                 2.2831,                 1.9407,                  1.747,              0.0010282,              0.0010282,              0.0010282
                     20,                 1.2229,                 1.7338,                 1.4109,                 1.3988,                0.71867,                0.68373,                0.74725,                0.52649,                0.69615,                0.64504,                 0.7154,                0.49078,                 1.2407,                 1.8294,                 1.4732,                 1.5118,              0.0010046,              0.0010046,              0.0010046
                     21,                 1.1388,                 1.7937,                 1.3487,                 1.3588,                0.66835,                0.79569,                0.85146,                0.64927,                  0.663,                0.78488,                0.83876,                0.57769,                0.97396,                 1.6526,                 1.4673,                 1.3247,             0.00098101,             0.00098101,             0.00098101
                     22,                 1.1873,                  1.823,                 1.2098,                 1.3299,                0.82704,                0.79946,                0.89737,                0.66947,                0.79954,                 0.8131,                0.88288,                0.53376,                0.95395,                  1.887,                 1.2595,                 1.3016,             0.00095743,             0.00095743,             0.00095743
                     23,                 1.1273,                 1.7106,                 1.1683,                 1.3535,                0.70878,                0.86793,                0.92178,                0.67488,                0.70906,                0.86935,                0.91515,                0.60364,                0.92576,                 1.5269,                 1.5435,                 1.2831,             0.00093385,             0.00093385,             0.00093385
                     24,                 1.0445,                 1.5877,                 1.1239,                 1.2861,                 0.8559,                0.86512,                0.93588,                 0.7169,                 0.8559,                0.86512,                0.93624,                0.65949,                0.89816,                  1.418,                 1.3352,                 1.2595,             0.00091027,             0.00091027,             0.00091027
                     25,                 1.1111,                  1.684,                 1.1028,                  1.336,                 0.8559,                  0.897,                0.94473,                0.72036,                0.85272,                0.89997,                0.94171,                0.67805,                0.90459,                 1.3405,                0.94193,                 1.2414,             0.00088669,             0.00088669,             0.00088669
                     26,                 1.0867,                 1.4519,                 1.0844,                 1.2577,                0.82365,                0.90534,                0.94819,                 0.7328,                0.82013,                0.90142,                0.94619,                0.68355,                0.87788,                 1.3395,                 1.0114,                 1.2204,             0.00086312,             0.00086312,             0.00086312
                     27,                 1.0187,                 1.5505,                 0.9612,                 1.2501,                0.90817,                0.89602,                0.95505,                0.72199,                0.89811,                0.88581,                0.95168,                0.66519,                0.90042,                 1.3387,                 1.0419,                 1.2344,             0.00083954,             0.00083954,             0.00083954
                     28,                  1.026,                 1.4433,                 1.0284,                 1.2261,                0.91549,                0.92569,                0.96948,                0.73852,                0.91483,                0.92414,                0.96518,                0.70599,                0.89435,                 1.2871,                0.94545,                 1.2332,             0.00081596,             0.00081596,             0.00081596
                     29,                 1.0242,                 1.4519,                0.99435,                 1.2575,                0.90902,                0.90573,                0.96541,                0.74757,                0.90467,                 0.9033,                0.96011,                0.71299,                0.86558,                 1.3019,                0.91949,                 1.1982,             0.00079238,             0.00079238,             0.00079238
                     30,                0.98187,                 1.5014,                0.94067,                 1.2372,                0.88287,                0.92866,                0.97156,                0.76593,                0.87931,                0.92489,                 0.9663,                0.71786,                0.82636,                 1.3091,                0.91386,                 1.1656,              0.0007688,              0.0007688,              0.0007688
                     31,                0.98637,                 1.4192,                0.92529,                 1.2291,                0.93092,                 0.9203,                0.96818,                0.76674,                0.92925,                0.90955,                0.96335,                0.71356,                0.81152,                 1.2597,                0.86323,                 1.1633,             0.00074522,             0.00074522,             0.00074522
                     32,                 1.0228,                 1.5154,                0.91076,                 1.2822,                0.93518,                0.93696,                0.97576,                0.78188,                0.92812,                0.92983,                0.97036,                0.73711,                0.78193,                 1.1619,                0.76976,                 1.1346,             0.00072164,             0.00072164,             0.00072164
                     33,                0.90062,                  1.406,                0.82998,                 1.1518,                0.93887,                 0.9562,                0.97758,                0.79471,                0.93484,                0.95242,                0.97313,                 0.7475,                0.78387,                 1.1626,                0.76962,                 1.1269,             0.00069807,             0.00069807,             0.00069807
                     34,                0.91335,                 1.3043,                0.84335,                 1.1333,                0.92051,                0.97916,                0.97525,                0.80197,                0.92028,                0.98334,                 0.9753,                0.74021,                0.76191,                  1.164,                0.71362,                 1.1155,             0.00067449,             0.00067449,             0.00067449
                     35,                0.94523,                 1.3393,                0.87963,                 1.1991,                0.90821,                0.97173,                 0.9748,                0.80175,                0.90821,                0.97173,                0.97482,                0.74918,                0.73954,                 1.1561,                0.74436,                 1.1043,             0.00065091,             0.00065091,             0.00065091
                     36,                0.88122,                 1.3738,                0.86003,                 1.1798,                0.89457,                0.94182,                0.97744,                0.80678,                0.89457,                0.94182,                0.97744,                0.74823,                 0.7465,                 1.1759,                0.80691,                 1.1134,             0.00062733,             0.00062733,             0.00062733
                     37,                0.94505,                 1.3209,                0.88199,                 1.1728,                0.92231,                  0.938,                0.98087,                0.80871,                0.92231,                  0.938,                0.98089,                0.74538,                0.71935,                 1.1595,                0.94896,                 1.0935,             0.00060375,             0.00060375,             0.00060375
                     38,                0.83382,                 1.2019,                0.75829,                 1.1449,                0.94396,                0.94243,                0.98203,                0.79618,                0.94396,                0.94243,                0.98231,                0.75397,                0.73915,                 1.0955,                0.80646,                 1.1289,             0.00058017,             0.00058017,             0.00058017
                     39,                0.89484,                 1.3232,                0.80099,                  1.158,                 0.9526,                0.93313,                0.98381,                0.80301,                0.95484,                0.93222,                0.97981,                  0.753,                 0.7444,                 1.0982,                0.72949,                 1.1239,              0.0005566,              0.0005566,              0.0005566
                     40,                0.88472,                 1.3165,                0.76677,                  1.131,                0.95181,                0.97256,                0.98607,                0.81754,                0.94857,                0.96936,                0.98274,                0.74676,                0.71439,                 1.1205,                0.64415,                 1.0861,             0.00053302,             0.00053302,             0.00053302
                     41,                0.87114,                 1.2516,                0.80645,                 1.1746,                0.96723,                0.95833,                 0.9879,                  0.817,                0.96456,                0.95739,                0.98569,                0.76482,                0.71016,                 1.0782,                0.62829,                 1.0814,             0.00050944,             0.00050944,             0.00050944
                     42,                0.84754,                 1.3097,                0.76869,                 1.1447,                0.95426,                0.95893,                0.98677,                0.81324,                0.95036,                0.95674,                0.98499,                0.76255,                0.71318,                 1.1121,                0.62329,                 1.0695,             0.00048586,             0.00048586,             0.00048586
                     43,                0.88117,                 1.3665,                0.75101,                  1.134,                 0.9568,                0.95139,                0.98409,                0.80759,                0.95337,                0.94862,                0.98175,                0.76496,                 0.7262,                 1.1594,                 0.6489,                 1.0702,             0.00046228,             0.00046228,             0.00046228
                     44,                 0.8355,                 1.2638,                0.76243,                 1.1431,                0.95335,                0.95822,                0.98386,                0.81605,                0.94261,                0.96513,                0.98186,                0.77259,                 0.6953,                 1.0621,                0.64943,                 1.0561,              0.0004387,              0.0004387,              0.0004387
                     45,                0.78478,                 1.1105,                0.71459,                  1.104,                0.97305,                0.93543,                0.98833,                0.83306,                0.97365,                0.93241,                 0.9842,                0.77763,                0.66259,                 1.0379,                0.70466,                 1.0471,             0.00041512,             0.00041512,             0.00041512
                     46,                0.79499,                 1.2517,                0.70898,                 1.1378,                0.96792,                0.92907,                0.98806,                0.83148,                0.96082,                0.93617,                0.98029,                0.76129,                0.65969,                 1.0348,                0.75917,                 1.0381,             0.00039155,             0.00039155,             0.00039155
                     47,                0.75478,                 1.1764,                0.72749,                 1.0941,                0.97006,                0.94832,                0.98709,                0.82834,                0.96984,                0.94155,                0.97978,                 0.7674,                0.67117,                 1.0099,                0.73697,                 1.0361,             0.00036797,             0.00036797,             0.00036797
                     48,                0.79779,                  1.123,                0.71546,                 1.1097,                0.96285,                0.98161,                0.98942,                0.83385,                0.96285,                0.98161,                0.98896,                0.78263,                0.65078,                0.99478,                 0.6194,                 1.0148,             0.00034439,             0.00034439,             0.00034439
                     49,                0.74965,                 1.1432,                0.68159,                 1.0883,                0.96968,                0.98397,                0.98934,                0.84437,                0.96968,                0.98397,                0.98877,                0.79281,                0.63152,                0.98376,                 0.5958,                 1.0027,             0.00032081,             0.00032081,             0.00032081
                     50,                0.73188,                 1.1219,                0.64419,                 1.0547,                0.97112,                0.97516,                 0.9895,                0.84731,                0.97112,                0.97516,                0.98882,                0.80048,                0.62622,                0.95399,                0.58007,                0.99964,             0.00029723,             0.00029723,             0.00029723
                     51,                0.68211,                 1.0113,                0.61723,                  1.072,                0.97882,                0.97098,                0.99026,                0.84372,                0.97882,                0.97098,                0.98902,                0.79613,                0.61344,                0.95368,                0.61104,                0.99382,             0.00027365,             0.00027365,             0.00027365
                     52,                0.66112,                0.99503,                0.61284,                 1.0795,                0.98637,                 0.9805,                0.99033,                0.84595,                0.98637,                 0.9805,                 0.9892,                0.79942,                0.60416,                 0.9566,                0.59625,                0.99509,             0.00025007,             0.00025007,             0.00025007
                     53,                0.69358,                 1.0138,                0.62195,                 1.1065,                0.97922,                0.97391,                0.99023,                0.85085,                0.97922,                0.97391,                0.98925,                0.79944,                 0.6182,                0.95899,                0.57938,                 1.0058,              0.0002265,              0.0002265,              0.0002265
                     54,                0.68691,                0.99291,                0.60665,                 1.0949,                0.96723,                0.98568,                0.98899,                 0.8478,                0.96333,                0.98176,                0.98314,                0.79908,                0.62114,                0.96481,                0.56239,                 1.0097,             0.00020292,             0.00020292,             0.00020292
                     55,                0.67268,                0.94253,                0.57072,                 1.0723,                0.97154,                0.98089,                 0.9878,                0.85149,                0.96763,                0.97697,                0.98141,                0.80018,                0.60358,                0.96551,                0.55571,                0.99942,             0.00017934,             0.00017934,             0.00017934
                     56,                 0.6256,                0.96059,                0.54685,                 1.0426,                0.97014,                 0.9807,                0.98832,                0.85835,                0.96623,                0.97678,                0.98217,                0.80369,                0.57574,                0.96257,                0.54143,                0.98057,             0.00015576,             0.00015576,             0.00015576
                     57,                0.64376,                0.93564,                0.58686,                 1.0648,                0.96507,                0.99047,                0.98869,                0.86595,                0.96507,                0.99047,                0.98792,                0.81107,                0.56047,                0.94772,                0.53745,                0.96925,             0.00013218,             0.00013218,             0.00013218
                     58,                0.59903,                0.92888,                0.52416,                 1.0132,                0.96528,                0.99351,                 0.9893,                0.86793,                0.96528,                0.99351,                0.98839,                0.81147,                0.55562,                0.93647,                0.53807,                0.96558,              0.0001086,              0.0001086,              0.0001086
                     59,                0.63478,                0.93618,                0.56068,                 1.0671,                  0.968,                0.99264,                0.98945,                0.87312,                  0.968,                0.99264,                0.98842,                0.81503,                0.55036,                 0.9093,                0.52135,                0.96556,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     60,                0.62188,                0.92664,                0.54226,                 1.0831,                0.97211,                0.99337,                0.99085,                0.87322,                0.97211,                0.99337,                0.98985,                  0.819,                 0.5399,                 0.8936,                0.50423,                0.96184,             6.1447e-05,             6.1447e-05,             6.1447e-05
